,video_ID,has_title,has_description,has_tags,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,video_duration,transcript_sentence_count,transcription_confidence_avg,transcript_wordcount,transcript_unique_wordcount,transcription_active_wordcount,transcription_summary_wordcount,transcription_transition_wordcount,unique_obj_count,scene_count,MED_pred,UND_pred
800,2ehuLjwS-nI,1,1,1,11.64170635,14,324,185,7,0,42,91,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,22.0,3.0,0,1
801,3h4FpkGQWkA,1,1,1,9.665961538,8,156,100,3,0,24,136,24.0,0.9157408831152817,439.0,192.0,74.0,0.0,31.0,11.0,4.0,1,1
802,CbRWvj2VYHw,1,1,1,6.757029591,37,527,249,10,0,89,69,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,34.0,55.0,1,1
803,ZW8UlgqKgfg,1,1,1,21.7014916,16,714,284,17,0,112,291,25.0,0.9157408831152817,380.0,170.0,45.0,0.0,21.0,9.0,5.0,1,1
804,KY8BkJCNfkE,1,1,1,9.91539627,33,468,247,8,0,64,218,25.0,0.967866093,389.0,193.0,77.0,1.0,23.0,45.0,24.0,1,1
805,ZMzsVSHfSC0,1,0,0,0.0,0,0,0,0,0,0,280,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,12.0,9.0,1,1
806,DKjmNVCZhsA,1,1,1,9.01,2,15,14,1,0,1,179,40.0,0.959419241,916.0,269.0,131.0,0.0,65.0,40.0,2.0,1,1
807,X8G1YkurALI,1,1,1,5.146153846,5,52,42,1,0,8,191,30.0,0.84649561,387.0,141.0,66.0,0.0,22.0,31.0,10.0,1,0
808,1LWuG1lOXJs,1,1,1,7.569577922,11,168,112,6,0,23,291,2.0,0.70251422,7.0,7.0,1.0,0.0,0.0,3.0,1.0,1,1
809,_GmJnEVmXAY,1,1,1,10.9425,1,20,19,2,0,2,97,31.0,0.9157408831152817,490.0,195.0,84.0,0.0,34.0,27.0,9.0,1,1
810,uPAIBhTrJQc,1,1,1,5.3725,1,12,11,1,0,2,264,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,52.0,16.0,1,1
811,e-_mR0ep764,1,1,1,18.97964286,1,28,25,1,0,1,60,38.0,0.9157408831152817,878.0,349.0,84.0,0.0,52.0,9.0,3.0,0,0
812,ZoH8U5HqyWE,1,1,1,8.057352815,13,179,123,3,0,16,150,47.0,0.967819134,907.0,330.0,113.0,0.0,60.0,30.0,72.0,1,1
813,Xe_LsrAKP6U,1,1,1,12.17043478,2,23,22,2,0,2,134,10.0,0.961470405,112.0,70.0,17.0,0.0,2.0,11.0,5.0,1,1
814,cVMkir5H14E,1,1,1,10.13458425,9,151,99,3,0,25,268,21.0,0.952389201,456.0,194.0,67.0,0.0,32.0,13.0,3.0,1,1
815,O7PKOMcogOU,1,1,1,18.69916667,3,72,52,2,0,7,242,54.0,0.972833147,1010.0,392.0,144.0,0.0,50.0,21.0,27.0,0,0
