date,diabetes risk factors,glycosuria,hirsutism,hyperandrogenism,diabetes causes,isPartial
2020-06-07,13,5,47,3,63,False
2020-06-14,13,5,43,2,69,False
2020-06-21,9,6,41,2,79,False
2020-06-28,6,4,38,4,65,False
2020-07-05,8,5,36,2,69,False
2020-07-12,8,6,35,4,75,False
2020-07-19,9,11,34,3,80,False
2020-07-26,8,5,41,4,60,False
2020-08-02,10,7,38,4,71,False
2020-08-09,6,4,35,4,78,False
2020-08-16,7,4,36,2,82,False
2020-08-23,13,5,37,4,70,False
2020-08-30,19,5,42,2,74,False
2020-09-06,16,7,43,5,65,False
2020-09-13,17,6,41,3,76,False
2020-09-20,17,5,35,4,88,False
2020-09-27,17,6,50,2,81,False
2020-10-04,17,8,42,1,79,False
2020-10-11,16,11,38,5,81,False
2020-10-18,21,7,40,5,86,False
2020-10-25,15,7,33,4,74,False
2020-11-01,13,8,26,1,63,False
2020-11-08,16,12,36,2,80,False
2020-11-15,17,11,37,2,90,False
2020-11-22,16,8,30,2,68,False
2020-11-29,13,7,41,4,76,False
2020-12-06,13,6,41,3,76,False
2020-12-13,8,7,35,3,73,False
2020-12-20,5,1,24,2,51,False
2020-12-27,3,2,27,1,54,False
2021-01-03,6,5,37,2,55,False
2021-01-10,7,5,28,1,69,False
2021-01-17,11,8,34,3,68,False
2021-01-24,10,4,30,3,80,False
2021-01-31,10,7,46,4,77,False
2021-02-07,11,8,37,4,82,False
2021-02-14,14,6,34,2,76,False
2021-02-21,10,4,41,5,90,False
2021-02-28,11,12,38,3,95,False
2021-03-07,11,7,36,2,79,False
2021-03-14,11,12,36,2,64,False
2021-03-21,11,7,44,3,78,False
2021-03-28,13,8,38,3,70,False
2021-04-04,14,8,39,4,77,False
2021-04-11,13,12,44,2,86,False
2021-04-18,17,11,40,5,75,False
2021-04-25,12,6,39,1,75,False
2021-05-02,11,7,77,1,76,False
2021-05-09,8,5,94,5,65,False
2021-05-16,10,3,69,1,66,False
2021-05-23,6,6,45,4,77,False
2021-05-30,5,6,44,4,58,False
2021-06-06,11,4,41,3,77,False
2021-06-13,6,6,39,4,70,False
2021-06-20,6,4,35,3,71,False
2021-06-27,7,5,38,2,68,False
2021-07-04,9,5,31,4,71,False
2021-07-11,7,5,34,3,66,False
2021-07-18,5,4,34,3,60,False
2021-07-25,5,4,25,2,63,False
2021-08-01,6,7,32,7,63,False
2021-08-08,7,4,38,6,64,False
2021-08-15,7,1,38,3,68,False
2021-08-22,8,5,35,1,61,False
2021-08-29,6,3,32,3,66,False
2021-09-05,7,8,36,3,63,False
2021-09-12,10,6,41,2,73,False
2021-09-19,10,7,38,2,75,False
2021-09-26,14,7,34,1,79,False
2021-10-03,16,7,41,3,80,False
2021-10-10,10,9,39,2,73,False
2021-10-17,14,9,33,4,90,False
2021-10-24,12,9,31,1,77,False
2021-10-31,12,8,41,4,64,False
2021-11-07,12,9,35,3,73,False
2021-11-14,11,12,34,1,68,False
2021-11-21,8,6,27,1,63,False
2021-11-28,13,11,40,5,85,False
