date,Glucophage,Glulisine,Glumetza,glyset,diabetes causes,isPartial
2020-02-23,16,2,3,0,86,False
2020-03-01,22,2,2,0,77,False
2020-03-08,19,2,2,0,66,False
2020-03-15,12,1,2,0,62,False
2020-03-22,16,0,3,0,64,False
2020-03-29,10,0,2,0,70,False
2020-04-05,17,3,1,0,90,False
2020-04-12,15,3,1,0,75,False
2020-04-19,18,2,1,0,87,False
2020-04-26,19,2,2,0,83,False
2020-05-03,11,1,2,1,77,False
2020-05-10,16,3,2,0,66,False
2020-05-17,17,0,2,0,71,False
2020-05-24,16,2,1,0,69,False
2020-05-31,18,1,2,0,59,False
2020-06-07,22,1,3,0,63,False
2020-06-14,16,2,2,1,69,False
2020-06-21,15,1,3,0,79,False
2020-06-28,19,2,1,1,65,False
2020-07-05,14,2,2,0,69,False
2020-07-12,16,1,2,1,75,False
2020-07-19,20,3,4,0,80,False
2020-07-26,16,2,4,0,60,False
2020-08-02,14,2,2,0,71,False
2020-08-09,15,1,2,0,78,False
2020-08-16,17,1,2,0,82,False
2020-08-23,17,0,4,0,70,False
2020-08-30,17,1,3,1,74,False
2020-09-06,13,2,2,0,65,False
2020-09-13,17,1,2,0,76,False
2020-09-20,17,2,2,1,88,False
2020-09-27,19,1,2,0,81,False
2020-10-04,25,2,2,1,79,False
2020-10-11,22,2,1,0,81,False
2020-10-18,21,0,2,0,86,False
2020-10-25,21,2,2,0,74,False
2020-11-01,18,3,1,0,63,False
2020-11-08,16,1,3,0,80,False
2020-11-15,17,3,1,0,90,False
2020-11-22,19,0,4,0,68,False
2020-11-29,13,2,5,0,76,False
2020-12-06,16,1,1,0,76,False
2020-12-13,12,0,2,1,73,False
2020-12-20,8,0,1,0,51,False
2020-12-27,10,1,1,0,54,False
2021-01-03,12,2,0,0,55,False
2021-01-10,13,1,2,0,69,False
2021-01-17,13,2,1,0,68,False
2021-01-24,19,1,0,0,80,False
2021-01-31,17,3,2,0,77,False
2021-02-07,14,0,3,0,82,False
2021-02-14,9,1,1,0,76,False
2021-02-21,17,2,3,0,90,False
2021-02-28,17,2,3,1,95,False
2021-03-07,16,3,1,0,79,False
2021-03-14,18,0,1,1,64,False
2021-03-21,15,2,3,1,78,False
2021-03-28,16,3,0,0,70,False
2021-04-04,20,1,1,0,77,False
2021-04-11,18,4,3,0,86,False
2021-04-18,18,2,3,0,75,False
2021-04-25,17,2,1,0,75,False
2021-05-02,15,1,1,0,76,False
2021-05-09,17,0,3,0,65,False
2021-05-16,19,1,3,0,66,False
2021-05-23,16,0,1,0,77,False
2021-05-30,13,2,2,1,58,False
2021-06-06,18,2,3,0,77,False
2021-06-13,17,1,3,0,70,False
2021-06-20,14,2,2,0,71,False
2021-06-27,15,1,1,0,68,False
2021-07-04,18,2,1,0,71,False
2021-07-11,13,1,2,0,66,False
2021-07-18,16,0,2,0,60,False
2021-07-25,14,2,1,0,63,False
2021-08-01,13,2,2,0,63,False
2021-08-08,13,3,1,0,64,False
2021-08-15,13,1,2,0,68,False
2021-08-22,16,1,2,0,61,False
2021-08-29,20,1,1,0,66,False
2021-09-05,17,1,2,0,63,False
2021-09-12,14,2,2,0,73,False
2021-09-19,14,2,1,0,75,False
2021-09-26,13,1,0,0,79,False
2021-10-03,9,2,2,0,80,False
2021-10-10,12,1,1,0,73,False
2021-10-17,17,1,1,0,90,False
2021-10-24,12,2,2,1,77,False
2021-10-31,20,3,2,0,64,False
2021-11-07,14,1,4,0,73,False
2021-11-14,19,3,1,0,68,False
2021-11-21,6,1,1,0,63,False
2021-11-28,11,1,3,0,85,False
2021-12-05,15,3,1,0,76,False
2021-12-12,11,1,2,0,71,False
2021-12-19,8,0,1,0,66,False
2021-12-26,12,0,0,0,57,False
2022-01-02,16,1,2,1,54,False
2022-01-09,15,1,3,0,76,False
2022-01-16,15,0,1,0,82,False
2022-01-23,15,2,4,0,74,False
2022-01-30,16,2,2,0,80,False
2022-02-06,14,2,3,0,78,False
2022-02-13,15,1,1,0,74,False
2022-02-20,15,3,4,0,83,False
2022-02-27,12,0,3,0,80,False
2022-03-06,18,2,3,1,82,False
2022-03-13,20,2,2,0,86,False
2022-03-20,21,2,0,0,68,False
2022-03-27,13,2,3,1,68,False
2022-04-03,14,3,2,1,85,False
2022-04-10,12,0,2,0,77,False
2022-04-17,18,2,1,0,88,False
2022-04-24,16,1,2,0,82,False
2022-05-01,22,1,2,0,69,False
2022-05-08,18,2,4,0,75,False
2022-05-15,17,1,2,1,72,False
2022-05-22,0,0,0,0,0,True
