date,injection site rotation,insulin infusion pump,insulin injection,insulin needles,diabetes causes,isPartial
2021-03-21,0,2,30,18,78,False
2021-03-28,0,1,20,21,70,False
2021-04-04,0,1,28,18,77,False
2021-04-11,0,1,27,16,86,False
2021-04-18,0,2,26,20,75,False
2021-04-25,0,2,20,16,75,False
2021-05-02,0,2,23,24,76,False
2021-05-09,0,1,21,16,65,False
2021-05-16,0,1,22,15,66,False
2021-05-23,0,0,20,19,77,False
2021-05-30,0,1,20,15,58,False
2021-06-06,0,1,26,16,77,False
2021-06-13,0,2,24,21,70,False
2021-06-20,0,0,20,24,71,False
2021-06-27,0,1,22,22,68,False
2021-07-04,0,2,22,18,71,False
2021-07-11,0,1,21,16,66,False
2021-07-18,0,1,19,17,60,False
2021-07-25,0,3,19,18,63,False
2021-08-01,0,1,22,16,63,False
2021-08-08,0,2,19,24,64,False
2021-08-15,0,0,23,22,68,False
2021-08-22,0,1,23,18,61,False
2021-08-29,0,1,20,26,66,False
2021-09-05,0,0,20,18,63,False
2021-09-12,0,2,23,20,73,False
2021-09-19,0,1,21,14,75,False
2021-09-26,0,0,25,15,79,False
2021-10-03,0,1,23,16,80,False
2021-10-10,0,1,16,15,73,False
2021-10-17,0,1,30,21,90,False
2021-10-24,0,2,26,17,77,False
2021-10-31,0,1,26,17,64,False
2021-11-07,0,1,22,21,73,False
2021-11-14,0,1,22,19,68,False
2021-11-21,0,1,15,15,63,False
2021-11-28,0,1,18,15,85,False
2021-12-05,0,1,19,15,76,False
2021-12-12,0,2,17,22,71,False
2021-12-19,0,2,12,15,66,False
2021-12-26,0,0,15,15,57,False
2022-01-02,0,1,23,19,54,False
2022-01-09,0,2,21,21,76,False
2022-01-16,0,1,21,20,82,False
2022-01-23,0,1,31,17,74,False
2022-01-30,0,1,20,16,80,False
2022-02-06,0,1,32,19,78,False
2022-02-13,0,2,26,16,74,False
2022-02-20,0,2,20,20,83,False
2022-02-27,0,1,18,20,80,False
2022-03-06,0,1,21,28,82,False
2022-03-13,0,2,28,15,86,False
2022-03-20,0,1,22,20,68,False
2022-03-27,0,1,23,23,68,False
2022-04-03,0,1,23,28,85,False
2022-04-10,0,1,21,18,77,False
2022-04-17,0,1,29,25,88,False
2022-04-24,0,1,23,23,82,False
2022-05-01,0,1,27,22,69,False
2022-05-08,0,0,21,17,75,False
2022-05-15,0,1,18,21,72,False
2022-05-22,0,0,0,0,0,True
