date,Post-prandial glucose,PPG,urine glucose,Acarbose,diabetes causes,isPartial
2020-09-20,0,55,5,2,16,False
2020-09-27,0,51,6,2,14,False
2020-10-04,0,53,7,2,14,False
2020-10-11,0,51,7,2,14,False
2020-10-18,0,55,7,2,15,False
2020-10-25,0,51,8,1,13,False
2020-11-01,0,44,6,2,11,False
2020-11-08,0,48,9,2,14,False
2020-11-15,0,55,10,1,16,False
2020-11-22,0,50,6,1,12,False
2020-11-29,0,52,8,2,14,False
2020-12-06,0,50,7,2,14,False
2020-12-13,0,50,6,1,13,False
2020-12-20,0,51,3,1,9,False
2020-12-27,0,50,4,2,10,False
2021-01-03,0,60,5,1,10,False
2021-01-10,0,60,6,2,12,False
2021-01-17,0,62,7,1,12,False
2021-01-24,0,67,7,2,14,False
2021-01-31,0,64,5,2,14,False
2021-02-07,0,64,7,2,15,False
2021-02-14,0,57,7,2,14,False
2021-02-21,0,64,7,2,16,False
2021-02-28,0,69,9,2,17,False
2021-03-07,0,61,8,2,14,False
2021-03-14,0,64,7,2,11,False
2021-03-21,0,65,8,2,14,False
2021-03-28,0,55,7,1,13,False
2021-04-04,0,63,9,1,14,False
2021-04-11,0,68,9,2,15,False
2021-04-18,0,65,11,2,13,False
2021-04-25,0,69,9,2,13,False
2021-05-02,0,56,8,2,14,False
2021-05-09,0,69,7,2,12,False
2021-05-16,0,74,7,1,12,False
2021-05-23,0,73,6,2,14,False
2021-05-30,0,59,6,1,10,False
2021-06-06,0,66,7,3,14,False
2021-06-13,0,59,7,2,12,False
2021-06-20,0,58,6,1,13,False
2021-06-27,0,53,5,1,12,False
2021-07-04,0,52,5,2,13,False
2021-07-11,0,59,6,2,12,False
2021-07-18,0,67,6,2,11,False
2021-07-25,0,64,6,2,11,False
2021-08-01,0,59,7,2,11,False
2021-08-08,0,57,5,1,11,False
2021-08-15,0,56,6,1,12,False
2021-08-22,0,57,7,2,11,False
2021-08-29,0,51,5,2,12,False
2021-09-05,0,55,5,1,11,False
2021-09-12,0,61,7,2,13,False
2021-09-19,0,55,7,2,13,False
2021-09-26,0,58,6,2,14,False
2021-10-03,0,69,7,1,14,False
2021-10-10,0,75,7,1,13,False
2021-10-17,0,72,8,2,16,False
2021-10-24,0,71,8,1,14,False
2021-10-31,0,61,8,1,12,False
2021-11-07,0,69,10,1,13,False
2021-11-14,0,68,10,2,12,False
2021-11-21,0,56,7,1,11,False
2021-11-28,0,67,9,2,15,False
2021-12-05,0,68,9,2,14,False
2021-12-12,0,73,6,1,13,False
2021-12-19,0,57,4,2,12,False
2021-12-26,0,69,4,1,10,False
2022-01-02,0,70,5,2,10,False
2022-01-09,0,71,7,1,14,False
2022-01-16,0,61,6,1,15,False
2022-01-23,0,84,7,2,13,False
2022-01-30,0,71,8,2,14,False
2022-02-06,0,86,8,2,14,False
2022-02-13,0,85,9,2,13,False
2022-02-20,0,79,7,2,15,False
2022-02-27,0,81,6,2,14,False
2022-03-06,0,80,8,2,15,False
2022-03-13,0,96,8,1,15,False
2022-03-20,0,92,7,2,12,False
2022-03-27,0,82,10,2,12,False
2022-04-03,0,74,10,1,15,False
2022-04-10,0,69,9,2,14,False
2022-04-17,0,72,10,2,16,False
2022-04-24,0,66,8,2,15,False
2022-05-01,0,71,8,1,12,False
2022-05-08,0,73,8,2,13,False
2022-05-15,0,64,6,2,13,False
2022-05-22,0,0,0,0,0,True
