date,plasma concentration,plasma glucose,post glucose tolerance test,post prandial glucose,diabetes causes,isPartial
2020-11-08,24,16,0,0,80,False
2020-11-15,29,21,0,0,90,False
2020-11-22,16,11,0,1,68,False
2020-11-29,30,22,0,1,76,False
2020-12-06,20,15,0,0,76,False
2020-12-13,13,10,0,0,73,False
2020-12-20,7,4,0,0,51,False
2020-12-27,2,5,0,0,54,False
2021-01-03,7,9,0,0,55,False
2021-01-10,11,6,0,0,69,False
2021-01-17,17,16,0,1,68,False
2021-01-24,20,21,0,1,80,False
2021-01-31,27,18,0,1,77,False
2021-02-07,30,18,0,1,82,False
2021-02-14,32,18,0,2,76,False
2021-02-21,27,17,0,0,90,False
2021-02-28,23,20,0,1,95,False
2021-03-07,22,15,0,1,79,False
2021-03-14,15,12,0,0,64,False
2021-03-21,21,17,0,1,78,False
2021-03-28,15,15,0,1,70,False
2021-04-04,21,13,0,1,77,False
2021-04-11,19,15,0,0,86,False
2021-04-18,14,16,0,1,75,False
2021-04-25,17,17,0,2,75,False
2021-05-02,18,15,0,1,76,False
2021-05-09,8,13,0,0,65,False
2021-05-16,11,10,0,1,66,False
2021-05-23,7,12,0,0,77,False
2021-05-30,11,7,0,0,58,False
2021-06-06,9,6,0,1,77,False
2021-06-13,13,11,0,1,70,False
2021-06-20,11,10,0,0,71,False
2021-06-27,10,10,0,0,68,False
2021-07-04,8,6,0,1,71,False
2021-07-11,9,10,0,0,66,False
2021-07-18,12,10,0,0,60,False
2021-07-25,9,7,0,0,63,False
2021-08-01,7,7,0,2,63,False
2021-08-08,4,7,0,0,64,False
2021-08-15,5,4,0,1,68,False
2021-08-22,7,5,0,1,61,False
2021-08-29,25,19,0,2,66,False
2021-09-05,38,19,0,0,63,False
2021-09-12,32,18,0,1,73,False
2021-09-19,30,14,0,1,75,False
2021-09-26,35,25,0,0,79,False
2021-10-03,31,15,0,0,80,False
2021-10-10,22,17,0,0,73,False
2021-10-17,23,19,0,2,90,False
2021-10-24,28,20,0,1,77,False
2021-10-31,19,17,0,1,64,False
2021-11-07,21,15,0,1,73,False
2021-11-14,21,18,0,0,68,False
2021-11-21,9,11,0,0,63,False
2021-11-28,15,14,0,1,85,False
2021-12-05,17,17,0,1,76,False
2021-12-12,11,11,0,1,71,False
2021-12-19,4,5,0,1,66,False
2021-12-26,3,2,0,0,57,False
2022-01-02,5,8,0,0,54,False
2022-01-09,11,11,0,1,76,False
2022-01-16,14,10,0,1,82,False
2022-01-23,26,18,0,1,74,False
2022-01-30,29,11,0,1,80,False
2022-02-06,28,17,0,1,78,False
2022-02-13,25,18,0,1,74,False
2022-02-20,28,13,0,0,83,False
2022-02-27,10,9,0,1,80,False
2022-03-06,11,12,0,1,82,False
2022-03-13,13,9,0,0,86,False
2022-03-20,16,11,0,0,68,False
2022-03-27,10,13,0,0,68,False
2022-04-03,15,17,0,1,85,False
2022-04-10,19,16,0,1,77,False
2022-04-17,19,14,0,1,88,False
2022-04-24,15,8,0,0,82,False
2022-05-01,13,18,0,0,69,False
2022-05-08,12,7,0,0,75,False
2022-05-15,9,12,0,0,72,False
2022-05-22,0,0,0,0,0,True
